Name,X,Y,Z
SVREC1,281504.811,4808619.516,194.6935919
SVREC2,281503.3858,4808573.619,194.7693077
SVREC3,281502.2737,4808523.679,194.8436124
SVREC4,281500.3787,4808480.022,194.9665368
SVREC5,281496.3521,4808370.271,195.377376
SVREC6,281521.3811,4808413.186,195.1554155
SVREC7,281541.8429,4808604.202,194.8604743
SVREC8,281541.2822,4808583.393,194.8403902
SVREC9,281539.7604,4808523.02,194.9805759
SVREC10,281557.7134,4808412.594,195.1831463
SVREC11,281579.0538,4808368.463,195.5198481
SVREC12,281602.1418,4808370.702,195.5342129
SVREC13,281603.1323,4808422.649,195.1808518
SVREC14,281637.8393,4808388.961,195.3259229
SVREC15,281682.5095,4808369.317,195.5557422
SVREC16,281682.6617,4808419.761,195.2249532
SVREC17,281583.5009,4808478.57,195.0059849
SVREC18,281584.3108,4808522.271,194.8427492
SVREC19,281585.365,4808572.252,194.793435
SVREC20,281587.4563,4808618.13,194.6350281
