Plots_ID,Mat_LOESS_GLI_mean_0.06
22013031,29
22013032,30
22013033,32
22013034,33
22013035,34
22013036,31
22014031,32
22014032,29
22014033,33
22014034,34
22014035,40
22014036,34
22023026,37
22023027,31
22023028,32
22023029,30
22023030,30
22024026,31
22024027,31
22024028,30
22024029,31
22024030,32
22053031,36
22053032,37
22053033,37
22053034,32
22053035,40
22053036,38
22053037,32
22053038,33
22053039,41
22053040,32
22061078,35
22061079,33
22061080,37
22061081,34
22061082,34
22061083,40
22061084,32
22062078,32
22062079,32
22062080,36
22062081,34
22062082,34
22062083,33
22062084,37
22063078,32
22063079,34
22063080,33
22063081,36
22063082,36
22063083,35
22063084,40
22013025,32
22013026,25
22013027,33
22013028,27
22013029,34
22013030,32
22014025,27
22014026,32
22014027,32
22014028,34
22014029,35
22014030,34
22023021,34
22023022,36
22023023,37
22023024,32
22023025,32
22024021,32
22024022,40
22024023,34
22024024,33
22024025,31
22053021,35
22053022,38
22053023,33
22053024,33
22053025,38
22053026,35
22053027,32
22053028,31
22053029,34
22053030,35
22061071,32
22061072,35
22061073,35
22061074,35
22061075,35
22061076,34
22061077,32
22062071,33
22062072,33
22062073,31
22062074,33
22062075,32
22062076,32
22062077,31
22063071,33
22063072,30
22063073,32
22063074,32
22063075,37
22063076,41
22063077,31
22013019,30
22013020,34
22013021,31
22013022,32
22013023,31
22013024,33
22014019,37
22014020,33
22014021,36
22014022,36
22014023,34
22014024,34
22023016,33
22023017,35
22023018,35
22023019,34
22023020,32
22024016,36
22024017,35
22024018,32
22024019,32
22024020,35
22053011,40
22053012,38
22053013,45
22053014,35
22053015,34
22053016,31
22053017,33
22053018,39
22053019,32
22053020,40
22061064,34
22061065,34
22061066,34
22061067,40
22061068,33
22061069,31
22061070,32
22062064,36
22062065,32
22062066,30
22062067,32
22062068,33
22062069,32
22062070,36
22063064,40
22063065,32
22063066,38
22063067,32
22063068,42
22063069,35
22063070,36
22013013,32
22013014,31
22013015,29
22013016,30
22013017,34
22013018,31
22014013,34
22014014,33
22014015,35
22014016,38
22014017,33
22014018,32
22023011,36
22023012,34
22023013,33
22023014,30
22023015,33
22024011,32
22024012,33
22024013,36
22024014,33
22024015,36
22053001,40
22053002,32
22053003,39
22053004,35
22053005,32
22053006,31
22053007,33
22053008,32
22053009,32
22053010,31
22061057,34
22061058,33
22061059,40
22061060,40
22061061,40
22061062,34
22061063,36
22062057,32
22062058,37
22062059,32
22062060,32
22062061,35
22062062,30
22062063,33
22063057,35
22063058,38
22063059,37
22063060,33
22063061,35
22063062,34
22063063,38
22013007,35
22013008,30
22013009,33
22013010,30
22013011,30
22013012,32
22014007,30
22014008,32
22014009,36
22014010,40
22014011,33
22014012,33
22023006,36
22023007,31
22023008,32
22023009,32
22023010,33
22024006,35
22024007,33
22024008,36
22024009,35
22024010,31
22051036,42
22051037,38
22051038,32
22051039,33
22051040,33
22052036,30
22052037,32
22052038,32
22052039,38
22052040,35
22061050,30
22061051,31
22061052,33
22061053,39
22061054,39
22061055,35
22061056,40
22062050,39
22062051,34
22062052,33
22062053,35
22062054,34
22062055,34
22062056,35
22063050,34
22063051,39
22063052,34
22063053,37
22063054,37
22063055,33
22063056,34
22013001,29
22013002,33
22013003,31
22013004,32
22013005,35
22013006,33
22014001,30
22014002,32
22014003,32
22014004,33
22014005,31
22014006,37
22023001,32
22023002,33
22023003,37
22023004,36
22023005,33
22024001,33
22024002,39
22024003,35
22024004,33
22024005,33
22051031,33
22051032,39
22051033,35
22051034,39
22051035,34
22052031,44
22052032,44
22052033,43
22052034,43
22052035,32
22061043,34
22061044,34
22061045,33
22061046,34
22061047,34
22061048,40
22061049,33
22062043,32
22062044,32
22062045,36
22062046,37
22062047,36
22062048,33
22062049,38
22063043,35
22063044,40
22063045,38
22063046,34
22063047,34
22063048,35
22063049,38
22011031,32
22011032,34
22011033,32
22011034,32
22011035,33
22011036,39
22012031,33
22012032,26
22012033,34
22012034,34
22012035,34
22012036,35
22021026,31
22021027,34
22021028,31
22021029,31
22021030,33
22022026,33
22022027,32
22022028,32
22022029,30
22022030,32
22051026,37
22051027,31
22051028,43
22051029,39
22051030,36
22052026,35
22052027,36
22052028,40
22052029,35
22052030,33
22061036,30
22061037,32
22061038,33
22061039,32
22061040,34
22061041,35
22061042,32
22062036,32
22062037,32
22062038,32
22062039,38
22062040,35
22062041,35
22062042,34
22063036,35
22063037,39
22063038,33
22063039,38
22063040,31
22063041,35
22063042,42
22011025,35
22011026,31
22011027,35
22011028,34
22011029,31
22011030,32
22012025,33
22012026,31
22012027,33
22012028,32
22012029,32
22012030,36
22021021,32
22021022,37
22021023,33
22021024,38
22021025,33
22022021,34
22022022,35
22022023,33
22022024,35
22022025,33
22051021,36
22051022,37
22051023,40
22051024,31
22051025,31
22052021,32
22052022,33
22052023,38
22052024,31
22052025,37
22061029,30
22061030,34
22061031,32
22061032,35
22061033,33
22061034,34
22061035,32
22062029,34
22062030,32
22062031,33
22062032,40
22062033,37
22062034,41
22062035,34
22063029,32
22063030,34
22063031,34
22063032,36
22063033,34
22063034,36
22063035,37
22011019,29
22011020,32
22011021,31
22011022,31
22011023,30
22011024,32
22012019,32
22012020,31
22012021,33
22012022,28
22012023,34
22012024,33
22021016,35
22021017,33
22021018,38
22021019,34
22021020,33
22022016,35
22022017,33
22022018,35
22022019,31
22022020,42
22051016,35
22051017,34
22051018,42
22051019,38
22051020,33
22052016,31
22052017,33
22052018,38
22052019,40
22052020,33
22061022,35
22061023,33
22061024,36
22061025,37
22061026,33
22061027,36
22061028,35
22062022,34
22062023,29
22062024,34
22062025,32
22062026,33
22062027,29
22062028,34
22063022,31
22063023,34
22063024,35
22063025,34
22063026,33
22063027,34
22063028,33
22011013,28
22011014,26
22011015,31
22011016,34
22011017,33
22011018,28
22012013,33
22012014,33
22012015,31
22012016,30
22012017,33
22012018,36
22021011,33
22021012,33
22021013,36
22021014,35
22021015,39
22022011,44
22022012,34
22022013,33
22022014,39
22022015,35
22051011,42
22051012,35
22051013,38
22051014,36
22051015,38
22052011,37
22052012,43
22052013,34
22052014,39
22052015,43
22061015,36
22061016,41
22061017,34
22061018,34
22061019,31
22061020,31
22061021,40
22062015,35
22062016,42
22062017,39
22062018,41
22062019,41
22062020,40
22062021,42
22063015,35
22063016,40
22063017,42
22063018,35
22063019,33
22063020,32
22063021,36
22011007,31
22011008,31
22011009,32
22011010,35
22011011,32
22011012,32
22012007,32
22012008,31
22012009,32
22012010,38
22012011,33
22012012,30
22021006,32
22021007,35
22021008,32
22021009,34
22021010,34
22022006,45
22022007,38
22022008,43
22022009,36
22022010,34
22051006,34
22051007,41
22051008,35
22051009,31
22051010,40
22052006,38
22052007,45
22052008,44
22052009,40
22052010,42
22061008,43
22061009,41
22061010,45
22061011,36
22061012,34
22061013,38
22061014,41
22062008,44
22062009,33
22062010,38
22062011,40
22062012,44
22062013,34
22062014,46
22063008,36
22063009,42
22063010,40
22063011,35
22063012,36
22063013,32
22063014,34
22011001,33
22011002,33
22011003,31
22011004,35
22011005,34
22011006,38
22012001,34
22012002,35
22012003,35
22012004,34
22012005,39
22012006,37
22021001,42
22021002,35
22021003,39
22021004,36
22021005,33
22022001,34
22022002,34
22022003,35
22022004,33
22022005,33
22051001,44
22051002,31
22051003,36
22051004,32
22051005,32
22052001,34
22052002,37
22052003,41
22052004,42
22052005,44
22061001,43
22061002,38
22061003,40
22061004,33
22061005,35
22061006,38
22061007,37
22062001,41
22062002,41
22062003,41
22062004,45
22062005,40
22062006,37
22062007,38
22063001,38
22063002,42
22063003,43
22063004,41
22063005,40
22063006,38
22063007,38
