Plots_ID,Mat_SEG_GLI_mean_0.06
22013031,29
22013032,30
22013033,37
22013034,35
22013035,36
22013036,31
22014031,33
22014032,28
22014033,35
22014034,35
22014035,39
22014036,35
22023026,37
22023027,31
22023028,33
22023029,30
22023030,30
22024026,31
22024027,30
22024028,29
22024029,32
22024030,33
22053031,37
22053032,37
22053033,37
22053034,33
22053035,39
22053036,40
22053037,33
22053038,38
22053039,39
22053040,32
22061078,36
22061079,35
22061080,35
22061081,35
22061082,35
22061083,39
22061084,33
22062078,37
22062079,33
22062080,37
22062081,35
22062082,35
22062083,33
22062084,37
22063078,32
22063079,35
22063080,35
22063081,36
22063082,36
22063083,36
22063084,39
22013025,32
22013026,31
22013027,35
22013028,27
22013029,38
22013030,32
22014025,27
22014026,32
22014027,33
22014028,35
22014029,36
22014030,34
22023021,33
22023022,36
22023023,37
22023024,33
22023025,32
22024021,33
22024022,39
22024023,38
22024024,35
22024025,31
22053021,36
22053022,38
22053023,33
22053024,33
22053025,38
22053026,35
22053027,33
22053028,30
22053029,34
22053030,36
22061071,32
22061072,36
22061073,36
22061074,36
22061075,35
22061076,35
22061077,32
22062071,34
22062072,34
22062073,31
22062074,34
22062075,32
22062076,33
22062077,31
22063071,32
22063072,30
22063073,32
22063074,32
22063075,37
22063076,41
22063077,31
22013019,36
22013020,39
22013021,31
22013022,32
22013023,31
22013024,33
22014019,39
22014020,33
22014021,39
22014022,39
22014023,34
22014024,33
22023016,35
22023017,36
22023018,36
22023019,35
22023020,32
22024016,37
22024017,39
22024018,32
22024019,31
22024020,35
22053011,39
22053012,38
22053013,45
22053014,34
22053015,35
22053016,31
22053017,33
22053018,39
22053019,33
22053020,41
22061064,38
22061065,34
22061066,34
22061067,39
22061068,35
22061069,31
22061070,32
22062064,37
22062065,32
22062066,30
22062067,33
22062068,33
22062069,37
22062070,37
22063064,39
22063065,33
22063066,38
22063067,33
22063068,41
22063069,35
22063070,36
22013013,33
22013014,32
22013015,29
22013016,30
22013017,36
22013018,31
22014013,35
22014014,34
22014015,39
22014016,38
22014017,34
22014018,32
22023011,37
22023012,33
22023013,34
22023014,30
22023015,34
22024011,32
22024012,34
22024013,37
22024014,35
22024015,37
22053001,39
22053002,33
22053003,38
22053004,36
22053005,33
22053006,31
22053007,35
22053008,33
22053009,32
22053010,31
22061057,38
22061058,34
22061059,39
22061060,38
22061061,38
22061062,36
22061063,37
22062057,33
22062058,37
22062059,33
22062060,32
22062061,36
22062062,30
22062063,34
22063057,36
22063058,38
22063059,37
22063060,34
22063061,35
22063062,38
22063063,37
22013007,39
22013008,30
22013009,38
22013010,35
22013011,36
22013012,33
22014007,36
22014008,32
22014009,38
22014010,41
22014011,35
22014012,35
22023006,37
22023007,31
22023008,32
22023009,33
22023010,38
22024006,36
22024007,38
22024008,40
22024009,39
22024010,31
22051036,40
22051037,38
22051038,32
22051039,34
22051040,33
22052036,30
22052037,32
22052038,32
22052039,38
22052040,37
22061050,29
22061051,31
22061052,38
22061053,38
22061054,38
22061055,37
22061056,39
22062050,38
22062051,39
22062052,34
22062053,39
22062054,36
22062055,35
22062056,36
22063050,38
22063051,39
22063052,38
22063053,37
22063054,37
22063055,34
22063056,38
22013001,29
22013002,34
22013003,33
22013004,37
22013005,39
22013006,38
22014001,35
22014002,33
22014003,37
22014004,35
22014005,37
22014006,37
22023001,37
22023002,35
22023003,40
22023004,40
22023005,34
22024001,38
22024002,39
22024003,39
22024004,32
22024005,32
22051031,35
22051032,39
22051033,36
22051034,39
22051035,35
22052031,44
22052032,42
22052033,40
22052034,42
22052035,37
22061043,38
22061044,35
22061045,34
22061046,36
22061047,35
22061048,39
22061049,38
22062043,32
22062044,37
22062045,39
22062046,38
22062047,39
22062048,37
22062049,40
22063043,38
22063044,40
22063045,40
22063046,35
22063047,35
22063048,36
22063049,38
22011031,37
22011032,36
22011033,33
22011034,31
22011035,38
22011036,41
22012031,35
22012032,27
22012033,35
22012034,38
22012035,35
22012036,36
22021026,36
22021027,36
22021028,30
22021029,31
22021030,33
22022026,38
22022027,37
22022028,31
22022029,30
22022030,32
22051026,37
22051027,32
22051028,44
22051029,41
22051030,40
22052026,36
22052027,40
22052028,38
22052029,39
22052030,35
22061036,30
22061037,37
22061038,38
22061039,37
22061040,38
22061041,36
22061042,37
22062036,37
22062037,32
22062038,34
22062039,37
22062040,36
22062041,36
22062042,38
22063036,36
22063037,37
22063038,35
22063039,38
22063040,31
22063041,36
22063042,40
22011025,36
22011026,33
22011027,36
22011028,38
22011029,36
22011030,33
22012025,35
22012026,30
22012027,38
22012028,37
22012029,34
22012030,37
22021021,37
22021022,38
22021023,35
22021024,38
22021025,35
22022021,39
22022022,37
22022023,35
22022024,36
22022025,34
22051021,36
22051022,37
22051023,42
22051024,36
22051025,31
22052021,34
22052022,37
22052023,41
22052024,30
22052025,38
22061029,29
22061030,35
22061031,31
22061032,36
22061033,34
22061034,35
22061035,34
22062029,35
22062030,32
22062031,33
22062032,39
22062033,37
22062034,37
22062035,35
22063029,37
22063030,38
22063031,36
22063032,37
22063033,36
22063034,37
22063035,37
22011019,33
22011020,33
22011021,32
22011022,36
22011023,30
22011024,37
22012019,34
22012020,36
22012021,35
22012022,29
22012023,35
22012024,34
22021016,36
22021017,37
22021018,40
22021019,35
22021020,35
22022016,36
22022017,38
22022018,39
22022019,31
22022020,41
22051016,39
22051017,39
22051018,41
22051019,37
22051020,35
22052016,36
22052017,35
22052018,38
22052019,39
22052020,35
22061022,36
22061023,32
22061024,37
22061025,37
22061026,37
22061027,36
22061028,38
22062022,34
22062023,29
22062024,35
22062025,31
22062026,34
22062027,29
22062028,35
22063022,30
22063023,35
22063024,36
22063025,35
22063026,34
22063027,35
22063028,34
22011013,28
22011014,27
22011015,35
22011016,35
22011017,37
22011018,28
22012013,34
22012014,34
22012015,32
22012016,30
22012017,34
22012018,37
22021011,32
22021012,34
22021013,36
22021014,39
22021015,38
22022011,45
22022012,35
22022013,35
22022014,38
22022015,36
22051011,40
22051012,39
22051013,37
22051014,36
22051015,38
22052011,39
22052012,42
22052013,38
22052014,39
22052015,41
22061015,35
22061016,38
22061017,35
22061018,35
22061019,31
22061020,31
22061021,39
22062015,35
22062016,43
22062017,36
22062018,40
22062019,39
22062020,41
22062021,42
22063015,35
22063016,38
22063017,41
22063018,36
22063019,34
22063020,32
22063021,37
22011007,36
22011008,31
22011009,32
22011010,35
22011011,34
22011012,31
22012007,34
22012008,31
22012009,36
22012010,38
22012011,34
22012012,30
22021006,33
22021007,35
22021008,32
22021009,38
22021010,35
22022006,45
22022007,37
22022008,43
22022009,37
22022010,36
22051006,33
22051007,39
22051008,36
22051009,32
22051010,39
22052006,37
22052007,45
22052008,43
22052009,39
22052010,39
22061008,43
22061009,40
22061010,45
22061011,35
22061012,35
22061013,37
22061014,40
22062008,40
22062009,32
22062010,37
22062011,39
22062012,44
22062013,38
22062014,48
22063008,36
22063009,41
22063010,39
22063011,36
22063012,37
22063013,33
22063014,35
22011001,35
22011002,34
22011003,31
22011004,36
22011005,36
22011006,38
22012001,36
22012002,36
22012003,36
22012004,35
22012005,39
22012006,37
22021001,43
22021002,39
22021003,40
22021004,37
22021005,38
22022001,35
22022002,36
22022003,37
22022004,35
22022005,38
22051001,39
22051002,30
22051003,36
22051004,37
22051005,34
22052001,38
22052002,40
22052003,40
22052004,45
22052005,45
22061001,42
22061002,37
22061003,39
22061004,34
22061005,36
22061006,38
22061007,37
22062001,38
22062002,39
22062003,42
22062004,45
22062005,39
22062006,37
22062007,37
22063001,37
22063002,41
22063003,42
22063004,40
22063005,39
22063006,37
22063007,40
